name,total_price_in_state,total_price_out_of_state,percent_admitted,yield,total_applicants,act_low,act_high,act_range,city,state,zip,address,longitude,latitude,affiliation,six_year_grad_rate,total_enrollment,website,phone_number,financial_aid_address,admissions_address,application_address,net_price_calculator,average_price_after_financial_aid,average_price_if_less_than_30000,average_price_if_less_than_48000,average_price_if_less_than_75000,average_price_if_less_than_110000,average_price_if_greater_than_110000,ncaa_membership,football_team?,basketball_team?,baseball_team?,cross_country_team?
Albany State University,19488,29736,47,38,2381,17,19,17 - 19,Albany,GA,31705,504 College Drive,-84.14306,31.571395,public,39,3910,www.asurams.edu/,2294304600,www.asurams.edu/about-asu/enrollment-management/financial-aid/,www.asurams.edu/about-asu/enrollment-management/,https://secure.gacollege411.org/applications/usg/usg_common_app_short/apply.html?application_id=2871,gateway.asurams.edu/calculator/,,,,,,,Yes,Yes,Yes,Yes,Yes
Albertus Magnus College,50072,50072,,,, , , - ,New Haven,CT,06511-1189,700 Prospect St,-72.923848,41.332519,private_non_profit,43,1550,www.albertus.edu,2037738550,www.albertus.edu/bachelors-degrees/tuition-financial-aid/,www.albertus.edu/admission-aid/,https://albertus.edu.185r.net/application/login/index.php,www.albertus.edu/bachelors-degrees/tuition-financial-aid/net-price-calculator.html,22171,20031,19732,21475,24326,28726,Yes,No,Yes,Yes,No
Albion College,52085,52085,61,12,4886,22,27,22 - 27,Albion,MI,49224,611 E Porter St,-84.746088,42.244603,private_non_profit,72,1268,www.albion.edu,5176291000,www.albion.edu/financialaid/,www.albion.edu/admission,www.albion.edu/admission/apply,www.albion.edu/admission/student-financial-services/net-price-calculator,24906,17795,17964,20418,24740,29223,Yes,Yes,Yes,Yes,Yes
Albright College,53880,53880,50,14,7604, , , - ,Reading,PA,19612-5234,1621 N. 13th St.,-75.910152,40.360248,private_non_profit,53,2393,www.albright.edu,6109212381,www.albright.edu/admit/home/home/financial-aid/,www.albright.edu/admit/home/,www.albright.edu/admit/home/home/apply-online/,https://albright.studentaidcalculator.com/survey.aspx,21497,18044,16060,17434,23097,35623,Yes,Yes,Yes,Yes,Yes
Alcorn State University,22036,22036,78,32,2078,16,20,16 - 20,Alcorn State,MS,39096-7500,1000 ASU Dr Ste 359,-91.142854,31.877216,public,31,3639,www.alcorn.edu,6018776100,www.alcorn.edu/admissions/financial-aid/index.aspx,www.alcorn.edu/admissions/index.aspx,https://selfserve.alcorn.edu/pls/prod11g/bwskalog.p_disploginnew?in_id=&cpbl=&newid=,www.alcorn.edu/admissions/financial-aid/index.aspx#,,,,,,,Yes,Yes,Yes,Yes,Yes
Alderson Broaddus University,36511,36511,43,21,3880,19,24,19 - 24,Philippi,WV,26416-2035,101 College Hill Drive,-80.047728,39.158067,private_non_profit,42,1108,www.ab.edu/,3044571700,ab.edu/financial-aid/,ab.edu/future-students/meet-the-admissions-team/,https://ab.edu/future-students/online-application-domestic/,ab.edu/financial-aid/consumer-information/,17421,13931,14430,15621,20504,21633,Yes,Yes,Yes,Yes,Yes
Alfred University,41421,41421,69,20,3482,21,26,21 - 26,Alfred,NY,14802-1205,One Saxon Drive,-77.788625,42.255866,private_non_profit,63,2310,www.alfred.edu,6078712111,www.alfred.edu/finaid/,www.alfred.edu/admissions/,www.alfred.edu/admissions/apply/,www.collegecostcalculator.org/alfreduniversity,20306,12992,13747,18135,21800,26878,Yes,Yes,Yes,No,Yes
Alice Lloyd College,23850,23850,36,12,4120,19,24,19 - 24,Pippa Passes,KY,41844,100 Purpose Rd,-82.875068,37.335087,private_non_profit,36,657,www.alc.edu,6063686000,,,,www.alc.edu/misc/financial-aid/,12562,10875,14095,10558,,,No,No,Yes,Yes,Yes
Allegheny College,56710,56710,72,17,3857,23,29,23 - 29,Meadville,PA,16335-3902,520 N Main St,-80.146922,41.648068,private_non_profit,78,2023,www.allegheny.edu,8143323100,sites.allegheny.edu/finaid/prospective-students/,www.allegheny.edu/admissions/,www.allegheny.edu/admissions/apply/,www.allegheny.edu/netpricecalculator,27773,17572,19144,21800,25862,31889,Yes,Yes,Yes,Yes,Yes
Allegheny Wesleyan College,12412,12412,,,, , , - ,Salem,OH,44460-9598,2161 Woodsdale Rd,-80.860091,40.867236,private_non_profit,56,62,awc.edu,3303376403,awc.edu/become-a-student/cost-and-financial-aid/financial-aid,awc.edu,,awc.edu/become-a-student/cost-and-financial-aid/net-price-calculator,4809,2495,2713,7375,,,No,No,No,No,No
Allen College,30789,30789,0,,2, , , - ,Waterloo,IA,50703-1999,1990 Heath St,-92.338018,42.531427,private_non_profit,82,575,www.allencollege.edu,3192262000,www.allencollege.edu/financial-aid.aspx,www.allencollege.edu/future-students.aspx,https://cams.unitypoint.org/alo_application/login.asp,www.allencollege.edu/filesimages/cost-calculator/cost-calculator.htm,6953,,6953,,,,No,No,No,No,No
Allen University,22800,22800,,,, , , - ,Columbia,SC,29204,1530 Harden Street,-81.020045,34.010348,private_non_profit,21,660,www.allenuniversity.edu/,8033765700,www.allenuniversity.edu/admissions/financial-aid/,www.allenuniversity.edu/overview/,www.allenuniversity.edu/admissions/apply-now/,www.allenuniversity.edu,13251,12497,13765,16280,17189,16026,No,No,Yes,No,Yes
Alliant International University-San Diego,31510,31510,39,25,166, , , - ,San Diego,CA,92131,10455 Pomerado Road,-117.094398,32.897056,private_for_profit,,3957,www.alliant.edu,8662554268,www.alliant.edu/admissions/financial-aid-scholarships/index.php,www.alliant.edu/admissions/index.php,www.alliant.edu/admissions/apply-now.php,www.alliant.edu/net-price-calc.php,18078,16785,16919,25999,25999,,No,No,No,No,No
Alma College,48268,48268,72,21,2338,21,27,21 - 27,Alma,MI,48801-1599,614 W Superior,-84.670073,43.379236,private_non_profit,67,1396,alma.edu,9894637111,alma.edu/admissions/financial-aid/,admissions.alma.edu,admissions.alma.edu/apply,alma.edu/admissions/financial-aid/aid-calculators/net-price-calculator.php,21815,16633,17010,20360,21471,25283,Yes,Yes,Yes,Yes,Yes
Alvernia University,45920,45920,75,29,1745,17,24,17 - 24,Reading,PA,19607-1799,400 Saint Bernardine St,-75.938163,40.3102,private_non_profit,51,2917,www.alvernia.edu,6107968200,www.alvernia.edu/financialaid/index.html,www.alvernia.edu/admissions/index.html,www.alvernia.edu/admissions/undergraduate/apply.html,www.alvernia.edu/financialaid/netpricecalculator.html,27016,21510,22734,24628,27406,31139,Yes,No,Yes,Yes,Yes
Alverno College,37029,37029,65,46,655,17,22,17 - 22,Milwaukee,WI,53234-3922,3400 S 43rd  St,-87.965498,42.983518,private_non_profit,39,2389,www.alverno.edu,4143826000,www.alverno.edu/financialaid/,www.alverno.edu/admissions/,www.alverno.edu/admissions/apply/,www.alverno.edu/npc,17044,14136,14006,17465,20562,21148,Yes,No,Yes,No,Yes
AM College LLC,,,,,, , , - ,Miami,FL,33176,10506 N Kendall Drive,-80.3645,25.68625,private_for_profit,,158,WWW.AMCOLLEGE.edu,3055959500,www.amcollege.edu/financialaid.htm,www.amcollege.edu/school-admissions.htm,,www.amcollege.edu/netpricecalculator,15239,16006,19132,15616,,,No,No,No,No,No
Amberton University,,,,,, , , - ,Garland,TX,75041-5595,1700 Eastgate Dr,-96.653028,32.859937,private_non_profit,,1381,www.amberton.edu,9722796511,www.amberton.edu,www.amberton.edu,www.amberton.edu,www.amberton.edu,,,,,,,No,No,No,No,No
American Academy of Art,,,,,, , , - ,Chicago,IL,60604-4302,332 S Michigan Ave,-87.624396,41.877824,private_non_profit,47,365,www.aaart.edu,3124610600,www.aaart.edu/admissions/financial-aid/,www.aaart.edu/admissions/,apply.aaart.edu:81/admission_form.php,aaart.studentaidcalculator.com,25171,25538,25254,31719,31055,32736,No,No,No,No,No
American Baptist College,20814,20814,,,, , , - ,Nashville,TN,37207-9980,1800 Baptist World Ctr Dr,-86.789301,36.201155,private_non_profit,43,157,www.abcnash.edu,6152561463,www.abcnash.edu,www.abcnash.edu,www.abcnash.edu,www.abcnash.edu/ABCNash/calc/npcalc.htm,13011,13255,15154,16111,19363,7230,No,No,No,No,No
American InterContinental University-Atlanta,,,,,, , , - ,Atlanta,GA,30328,6600 Peachtree Dunwoody Road  500 Embassy Row,-84.355243,33.936128,private_for_profit,25,848,www.aiuniv.edu/online-campus/campus-locations/atlanta,4.04966E+13,www.aiuniv.edu/admissions-financial-aid/financial-resources,www.aiuniv.edu/admissions-financial-aid/admissions/campus,https://my.atlanta.aiuniv.edu/mycampus/general/ec.aspx?src=242,https://www.aiuniv.edu/admissions-financial-aid/financial-resources/tools/net-price,19531,18575,20039,24877,24877,20027,No,No,No,No,No
American InterContinental University-Houston,,,,,, , , - ,Houston,TX,77042,9999 Richmond Avenue,-95.548309,29.728221,private_for_profit,24,535,www.aiuniv.edu/online-campus/campus-locations/houston,8322013600,www.aiuniv.edu/admissions-financial-aid/financial-resources,www.aiuniv.edu/admissions-financial-aid/admissions/campus,my.houston.aiuniv.edu/mycampus/general/ec.aspx?src=0,www.aiuniv.edu/admissions-financial-aid/financial-resources/tools/net-price,18855,18701,18432,20803,,,No,No,No,No,No
American InterContinental University-Online,,,,,, , , - ,Schaumburg,IL,60173,231 N. Martingale Rd.  6th Floor,-88.032611,42.03314,private_for_profit,,11900,www.aiuniv.edu,8777013800,www.aiuniv.edu/admissions-financial-aid/financial-resources,www.aiuniv.edu/admissions-financial-aid/admissions,enroll.aiuonline.edu/applicationprocess/Default.aspx,www.aiuniv.edu/admissions-financial-aid/financial-resources/tools/net-price,15495,15517,16306,17914,18800,20758,No,No,No,No,No
American International College,47840,47840,68,23,2026,17,23,17 - 23,Springfield,MA,1109,1000 State Street,-72.558507,42.112708,private_non_profit,39,3629,www.aic.edu,4137377000,www.aic.edu/financialaid,www.aic.edu/admissions,www.aic.edu/admissions/apply,www.aic.edu/financialaid,18590,17160,16942,21220,21101,22567,Yes,Yes,Yes,Yes,Yes
AMERICAN ISLAMIC COLLEGE,15575,15575,,,, , , - ,Chicago,IL,60613,640 W Irving Park RD,-87.646781,41.95494,private_non_profit,,,www.aicusa.edu,7732814700,www.aicusa.edu/admissions/financing-your-education/,www.aicusa.edu/admissions/admission-requirements/,www.aicusa.edu/admissions/application-procedures/,www.aicusa.edu/admissions/financing-your-education/,,,,,,,No,No,No,No,No
American Jewish University,51192,51192,41,65,41, , , - ,Los Angeles,CA,90077-1519,15600 Mulholland Dr,-118.471764,34.128099,private_non_profit,62,204,www.aju.edu,3104769777,www.college.aju.edu/affordability/,www.college.aju.edu/undergraduate/admissions/,www.aju.edu,www.aju.edu,34762,33467,,38869,39369,,No,No,No,No,No
American Public University System,,,,,, , , - ,Charles Town,WV,25414,111 W Congress St,-77.859781,39.288383,private_for_profit,21,57539,www.apus.edu,8774686268,www.apu.apus.edu/tuition-and-financing/,www.apu.apus.edu/admissions/general-information,www.apu.apus.edu/admissions/application-process/,https://tuitioncalculatorapu.apus.edu/?_ga=1.21434299.1026620130.1384444369,9572,9568,9979,11423,13812,14377,No,No,No,No,No
American Sentinel University,,,,,, , , - ,Aurora,CO,80014-6510,2260 South Xanadu Way,-104.831151,39.67657,private_for_profit,,3173,www.americansentinel.edu,3039911575,www.americansentinel.edu/financial-information/types-of-aid,www.americansentinel.edu/admissions,applicant.americansentinel.edu/Application.aspx,www.americansentinel.edu/calc/npcalc.htm,,,,,,,No,No,No,No,No
American University,60586,60586,46,26,15119,26,30,26 - 30,Washington,DC,20016-8001,4400 Massachusetts Ave NW,-77.090106,38.937802,private_non_profit,77,13061,WWW.AMERICAN.EDU,2028851000,www.american.edu/financialaid/,www.american.edu/admissions/,www.american.edu/admissions/apply.cfm,www.american.edu/financialaid/Net-Price-Calculator-Form.cfm,33778,28524,27005,30227,31693,44567,Yes,No,Yes,No,Yes
American University of Health Sciences,,,100,100,2, , , - ,Signal Hill,CA,90755-3612,1600 East Hill St,-118.171442,33.797115,private_for_profit,,282,www.auhs.edu,5.62988E+13,www.auhs.edu/resources/offices/financial-aid/,www.auhs.edu/admissions/,www.auhs.edu/admissions/applying-to-auhs/admission-forms/,www.auhs.edu/media/resources/financial_aid/npcalc/npcalc.htm,25672,,,25672,,,No,No,No,No,No
American University of Puerto Rico,,,,,, , , - ,Bayamon,PR,00960-2037,Carr. #2  Km.14.4  Bo. Hato Tejas,-66.18678,18.406139,private_non_profit,31,832,www.aupr.edu,7.8762E+13,www.aupr.edu/site/pages/66,www.aupr.edu/site/pages/37,www.aupr.edu/site/solicitudAdmision,www.aupr.edu/site/calculadora,9549,9469,10271,,13800,,No,No,No,No,No
